Year,Period,Area,Population Source,Population
"2007","Annual","Modoc County","California Dept of Finance","9,648"
"1995","Annual","Modoc County","California Dept of Finance","10,014"
"2022","Annual","Mono County","California Dept of Finance","13,185"
"2018","Annual","Mono County","California Dept of Finance","13,222"
"2007","Annual","Mono County","California Dept of Finance","13,814"
"1995","Annual","Mono County","California Dept of Finance","11,416"
"2022","Annual","Monterey County","California Dept of Finance","436,843"
"2018","Annual","Monterey County","California Dept of Finance","439,618"
"2007","Annual","Monterey County","California Dept of Finance","424,092"
"1995","Annual","Monterey County","California Dept of Finance","360,144"
"2022","Annual","Napa County","California Dept of Finance","135,497"
"2018","Annual","Napa County","California Dept of Finance","139,558"
"2007","Annual","Napa County","California Dept of Finance","135,413"
"1995","Annual","Napa County","California Dept of Finance","116,817"
"2022","Annual","Nevada County","California Dept of Finance","101,137"
"2018","Annual","Nevada County","California Dept of Finance","101,920"
"2007","Annual","Nevada County","California Dept of Finance","98,722"
"1995","Annual","Nevada County","California Dept of Finance","86,426"
"2022","Annual","Orange County","California Dept of Finance","3,154,042"
"2018","Annual","Orange County","California Dept of Finance","3,193,464"
"2007","Annual","Orange County","California Dept of Finance","3,089,756"
"1995","Annual","Orange County","California Dept of Finance","2,590,110"
"2022","Annual","Placer County","California Dept of Finance","409,692"
"2018","Annual","Placer County","California Dept of Finance","395,677"
"2007","Annual","Placer County","California Dept of Finance","330,327"
"1995","Annual","Placer County","California Dept of Finance","207,158"
"2022","Annual","Plumas County","California Dept of Finance","19,280"
"2018","Annual","Plumas County","California Dept of Finance","19,575"
"2007","Annual","Plumas County","California Dept of Finance","20,945"
"1995","Annual","Plumas County","California Dept of Finance","20,817"
"2022","Annual","Riverside County","California Dept of Finance","2,432,203"
"2018","Annual","Riverside County","California Dept of Finance","2,383,773"
"2007","Annual","Riverside County","California Dept of Finance","2,060,277"
"1995","Annual","Riverside County","California Dept of Finance","1,365,457"
"2022","Annual","Sacramento County","California Dept of Finance","1,578,644"
"2018","Annual","Sacramento County","California Dept of Finance","1,554,668"
"2007","Annual","Sacramento County","California Dept of Finance","1,411,089"
"1995","Annual","Sacramento County","California Dept of Finance","1,118,579"
"2022","Annual","San Benito County","California Dept of Finance","65,481"
"2018","Annual","San Benito County","California Dept of Finance","61,848"
"2007","Annual","San Benito County","California Dept of Finance","57,438"
"1995","Annual","San Benito County","California Dept of Finance","43,310"
"2022","Annual","San Bernardino County","California Dept of Finance","2,179,263"
"2018","Annual","San Bernardino County","California Dept of Finance","2,160,036"
"2007","Annual","San Bernardino County","California Dept of Finance","2,036,360"
"1995","Annual","San Bernardino County","California Dept of Finance","1,573,905"
"2022","Annual","San Diego County","California Dept of Finance","3,293,911"
"2018","Annual","San Diego County","California Dept of Finance","3,293,350"
"2007","Annual","San Diego County","California Dept of Finance","3,117,943"
"1995","Annual","San Diego County","California Dept of Finance","2,613,111"
"2022","Annual","San Francisco County","California Dept of Finance","843,094"
"2018","Annual","San Francisco County","California Dept of Finance","872,338"
"2007","Annual","San Francisco County","California Dept of Finance","830,460"
"1995","Annual","San Francisco County","California Dept of Finance","741,615"
"2022","Annual","San Joaquin County","California Dept of Finance","784,017"
"2018","Annual","San Joaquin County","California Dept of Finance","759,753"
"2007","Annual","San Joaquin County","California Dept of Finance","679,038"
"1995","Annual","San Joaquin County","California Dept of Finance","517,926"
"2022","Annual","San Luis Obispo County","California Dept of Finance","280,629"
"2018","Annual","San Luis Obispo County","California Dept of Finance","282,952"
"2007","Annual","San Luis Obispo County","California Dept of Finance","267,252"
"1995","Annual","San Luis Obispo County","California Dept of Finance","229,160"
"2022","Annual","San Mateo County","California Dept of Finance","746,262"
"2018","Annual","San Mateo County","California Dept of Finance","766,711"
"2007","Annual","San Mateo County","California Dept of Finance","731,577"
"1995","Annual","San Mateo County","California Dept of Finance","673,272"
"2022","Annual","Santa Barbara County","California Dept of Finance","443,956"
"2018","Annual","Santa Barbara County","California Dept of Finance","447,666"
"2007","Annual","Santa Barbara County","California Dept of Finance","424,978"
"1995","Annual","Santa Barbara County","California Dept of Finance","382,373"
"2022","Annual","Santa Clara County","California Dept of Finance","1,903,274"
"2018","Annual","Santa Clara County","California Dept of Finance","1,937,985"
"2007","Annual","Santa Clara County","California Dept of Finance","1,813,222"
"1995","Annual","Santa Clara County","California Dept of Finance","1,568,223"
"2022","Annual","Santa Cruz County","California Dept of Finance","265,158"
"2018","Annual","Santa Cruz County","California Dept of Finance","273,527"
"2007","Annual","Santa Cruz County","California Dept of Finance","264,568"
"1995","Annual","Santa Cruz County","California Dept of Finance","239,889"
"2022","Annual","Shasta County","California Dept of Finance","179,786"
"2018","Annual","Shasta County","California Dept of Finance","181,472"
"2007","Annual","Shasta County","California Dept of Finance","181,328"
"1995","Annual","Shasta County","California Dept of Finance","159,390"
"2022","Annual","Sierra County","California Dept of Finance","3,186"
"2018","Annual","Sierra County","California Dept of Finance","3,232"
